"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45"
"1" 35 2 3 4 42 42 7 2 42 10 20 2 13 35 33 41 42 13 19 20 13 27 35 42 25 26 27 41 29 30 20 42 33 2 35 3 33 38 2 29 41 42 42 44 3
"2" 35 2 45 4 37 6 7 8 37 10 38 2 13 14 37 41 4 13 30 38 13 27 23 37 25 26 27 41 29 30 38 4 37 8 35 45 37 38 39 29 41 42 4 44 45
"3" 35 34 3 43 33 6 7 8 33 10 20 34 13 14 33 28 43 13 30 20 13 22 23 6 25 26 27 28 40 30 31 43 33 34 35 36 33 20 39 40 28 6 43 44 36
"4" 35 2 45 43 9 42 7 2 9 10 11 2 21 14 9 41 43 21 30 11 21 22 23 9 25 26 27 41 29 30 11 43 9 2 35 36 9 11 39 40 41 42 43 44 45
"5" 1 34 36 4 33 6 7 34 33 10 11 34 18 1 15 28 4 18 30 11 21 22 1 33 25 26 22 28 29 30 11 33 33 34 1 36 15 11 34 40 41 42 43 44 45
"6" 1 34 45 17 5 37 7 8 33 7 31 23 13 14 33 31 17 13 19 31 13 22 23 37 23 26 22 28 37 19 31 17 33 34 1 45 37 31 39 17 28 17 17 44 45
"7" 1 8 3 4 15 15 7 8 15 10 11 8 13 14 15 41 17 13 19 20 13 27 23 15 25 26 27 41 29 30 20 42 15 8 1 45 15 38 39 29 41 42 42 44 45
"8" 1 8 3 43 43 15 7 8 15 10 11 8 21 14 15 28 43 21 30 38 21 27 23 43 25 26 27 28 40 30 11 43 33 8 1 3 43 38 39 40 28 43 43 44 45
"9" 1 8 3 15 5 6 7 8 15 10 20 8 13 14 15 16 6 21 30 20 21 27 23 15 25 26 27 28 29 30 20 32 33 8 1 3 15 20 39 40 16 6 32 44 3
"10" 1 8 3 15 15 17 7 8 15 10 11 8 21 14 15 41 17 21 19 20 21 27 23 15 8 26 27 41 40 19 31 17 33 8 35 3 15 41 39 40 41 17 17 44 3
"11" 1 8 3 15 15 15 7 8 9 10 31 8 21 14 15 41 17 21 19 31 21 22 23 15 8 26 27 41 9 30 31 15 9 8 1 36 37 31 39 40 41 17 17 1 45
"12" 1 25 45 5 5 5 7 25 5 10 31 25 21 39 5 31 17 18 19 31 21 22 25 5 25 26 22 31 5 19 31 5 33 25 1 45 5 31 39 5 31 5 17 44 45
"13" 1 8 3 15 15 17 7 8 15 10 31 8 13 14 15 28 17 13 30 31 13 27 23 15 25 26 27 28 29 30 31 15 33 8 1 36 15 38 39 29 28 17 17 44 36
"14" 35 34 45 17 5 17 7 8 5 10 31 34 21 14 5 31 17 21 19 31 21 22 23 33 34 26 22 31 29 19 31 5 33 34 35 45 5 31 44 17 31 17 17 44 45
"15" 1 12 3 4 9 4 7 12 9 10 11 12 13 14 9 41 4 13 19 11 13 22 23 24 25 26 27 41 29 19 38 9 24 12 35 3 9 38 39 29 41 4 4 44 45
